Time(s),Nose_X,Nose_Y,Nose_value,Neck_X,Neck_Y,Neck_value,RShoulder_X,RShoulder_Y,RShoulder_value,RElbow_X,RElbow_Y,RElbow_value,RWrist_X,RWrist_Y,RWrist_value,LShoulder_X,LShoulder_Y,LShoulder_value,LElbow_X,LElbow_Y,LElbow_value,LWrist_X,LWrist_Y,LWris_value,MidHip_X,MidHip_Y,MidHip_value,RHip_X,RHip_Y,RHip_value,RKnee_X,RKnee_Y,RKnee_value,RAnkle_X,RAnkle_Y,RAnkle_value,LHip_X,LHip_Y,LHip_value,LKnee_X,LKnee_Y,LKnee_value,LAnkle_X,LKnee_Y.1,LKnee_value.1,REye_X,REye_Y,REye_value,LEye_X,LEye_Y,LEye_value,REar_X,REar_Y,REar_value,LEar_X,LEar_Y,LEar_value,LBigToe_X,LBigToe_Y,LBigToe_value,LSmallToe_X,LSmallToe_Y,LSmallToe_value,LHeel_X,LHeel_Y,LHeel_value,RBigToe_X,RBigToe_Y,RBigToe_value,RSmallToe_X,RSmallToe_Y,RSmallToe_value,RHeel_X,RHeel_Y,RHeel_value
1.04,666.7185059,127.8056335,0.874011517,676.4257202,196.3515015,0.852011502,619.65979,198.4113159,0.761812687,576.4690552,284.5984192,0.732474804,521.5772095,294.3465881,0.649899423,729.3116455,192.517395,0.796169341,744.913208,288.51651,0.735731483,660.7214966,302.1661377,0.409286022,680.317627,351.1813965,0.716652393,645.0539551,351.202301,0.657531261,660.6990356,503.9866333,0.796158552,652.9067993,635.2891235,0.650901139,713.6889648,349.2549133,0.698263466,696.06604,623.4921265,0.554493248,690.1244507,623.4921265,0.554493248,660.7050171,114.1532669,0.867702663,682.3134155,116.0196762,0.948723614,646.977356,120.0284042,0.466886669,701.8818359,120.0523911,0.760351777,676.4122314,678.3082886,0.50746119,692.0921021,674.4602661,0.526096702,682.3329468,631.3449707,0.416421115,656.8310547,680.3103027,0.635010123,643.1193237,676.3878174,0.572109103,662.6326294,641.1223755,0.455893815
3.04,666.5904541,131.6785736,0.951437056,670.5255737,196.5056,0.834963739,617.5789795,208.1193085,0.774717331,584.3550415,284.5381165,0.781617284,525.5775146,306.2228394,0.844460845,727.3184814,194.4193115,0.819136143,754.7304688,272.8532715,0.629780471,699.9568481,306.1331177,0.368705451,678.2845459,355.0900269,0.673345804,637.2749023,355.1422424,0.648826957,648.9407959,505.9005127,0.847418427,649.0144653,635.2408447,0.63508898,711.7107544,353.1767883,0.70895505,695.918396,631.3273926,0.591243088,682.2615967,631.3273926,0.591243088,656.7849731,116.1765976,0.892152429,682.1854858,117.9974289,0.972116411,645.0565186,127.8264236,0.314196378,699.9280396,127.8579865,0.772001863,670.5452271,678.3173218,0.546094835,688.1443481,674.4542847,0.561247826,678.3430176,639.1595459,0.364523768,654.8423462,678.3647461,0.501729906,639.1943359,674.4165649,0.455029488,650.9603882,641.1603394,0.416061252
6.04,586.3427734,155.2974548,0.873074234,631.2790527,208.1228485,0.8039698,578.4743652,212.1863861,0.709355116,498.1582947,263.02005,0.64541477,527.4741211,210.1585236,0.669584572,680.289917,196.3611603,0.765020251,760.5996094,241.450531,0.340570837,746.956604,212.0895386,0.16482085,607.8477783,364.8714294,0.66405344,572.6170044,353.1576233,0.675525606,554.958252,502.0045471,0.842045546,539.2022095,617.6503906,0.689127445,645.081543,370.7703247,0.6250633,713.6072998,643.0975952,0.601086736,668.5643311,643.0975952,0.601086736,572.4959106,159.1719666,0.866731107,588.1643677,137.6391449,0.909945369,570.6345215,172.904068,0.229339972,615.6265869,133.655426,0.832208574,682.2901001,695.8845825,0.436316162,692.0337524,686.1716309,0.527568281,650.9181519,652.8686523,0.447428495,539.2921143,643.0858765,0.212139785,523.6345825,637.1915894,0.245529115,539.2819214,625.4401855,0.376766533
7.04,558.8908081,163.1169281,0.911245942,601.9844971,206.2322083,0.841423452,554.8861694,214.034317,0.776851296,494.1758118,278.7137146,0.739169002,509.8196716,210.137207,0.538943291,654.8292847,194.4881744,0.75515008,647.0241699,290.4187012,0.758350432,578.4265137,319.8291321,0.754347801,582.3485107,364.8531799,0.645333648,545.1651611,355.124115,0.595431209,554.9713745,505.8865662,0.846782565,551.0316772,617.644165,0.553399444,617.5446167,368.7798157,0.656614482,668.5579834,603.9120483,0.070086829,623.5039063,603.9120483,0.070086829,551.0358276,157.2610779,0.842669845,568.5715942,147.4208984,0.903674304,0,0,0,590.2564087,135.6743164,0.820196807,0,0,0,0,0,0,0,0,0,554.9563599,645.0324097,0.164803505,539.2402344,641.1159058,0.216265038,552.9396362,621.5564575,0.306132525
8.04,562.8007813,159.2049866,0.842522383,617.5824585,208.1852875,0.896542311,566.6640015,212.0440063,0.814514756,541.2006836,302.1992798,0.76454103,525.5070801,382.4740295,0.813730121,668.6243286,198.3766022,0.759846687,664.6505737,286.5469971,0.674381316,588.2849121,319.7732239,0.805807114,588.1676025,378.5883789,0.721576154,554.9846802,370.8083801,0.688674152,556.9231567,496.2261353,0.836486518,554.835083,619.6365967,0.657835066,619.5987549,382.5625305,0.727234066,696.038147,637.246521,0.591840506,698.008728,637.246521,0.591840506,556.9597778,149.4512177,0.755442202,570.5661011,145.4873657,0.926664233,0,0,0,601.9401855,139.5912781,0.835736275,695.9675903,684.2336426,0.24739027,711.616394,680.3778687,0.314347088,686.1948853,654.8457642,0.351773173,556.9142456,650.9649048,0.172347575,541.1584473,648.9667358,0.188205242,554.9675293,629.3652954,0.365613341
9.04,599.9987183,151.4168243,0.873995304,617.6367798,198.3986664,0.889392495,568.5944824,202.3276367,0.730848134,505.9232178,257.1132507,0.822680712,537.322876,282.5987854,0.796991408,668.5648193,196.353714,0.777937233,641.1218262,290.4207458,0.674442053,586.3223877,337.5333862,0.825515389,586.22052,366.8122253,0.674300313,551.0442505,355.1139526,0.598636329,556.817749,500.0941467,0.84024477,552.8956909,619.5353394,0.609450996,617.6980591,372.7222595,0.65244323,698.0591431,633.2807007,0.548416317,701.8575439,633.2807007,0.548416317,588.2408447,143.509079,0.899037719,611.7437744,141.51828,0.84074831,574.5709839,147.4455261,0.182814866,635.2197266,147.3426666,0.831443667,698.029541,670.5175171,0.142539278,713.5518188,672.482605,0.192368314,692.0615845,650.9038086,0.303669095,547.1010742,650.9085693,0.139216527,525.5966797,635.2768555,0.196166888,554.9393921,625.4780884,0.360926449
53.04,625.4784546,157.1981201,0.823816895,603.8919067,210.1100922,0.755069733,631.286499,210.1517181,0.664371252,654.8468018,308.1209717,0.392836839,668.5418701,384.4708252,0.065381527,580.3803101,206.1973572,0.503078043,0,0,0,0,0,0,584.255127,368.8551025,0.497439444,609.7936401,368.8207703,0.486590624,658.7418213,494.2672729,0.800098121,601.8560181,629.3464355,0.63225019,556.8654785,368.821106,0.427378416,0,0,0,0,0,0,605.901062,149.3276215,0.934874415,631.345459,145.4004211,0.882521272,584.3287354,163.1860809,0.786432326,0,0,0,0,0,0,0,0,0,0,0,0,637.2739868,680.2941895,0.573074877,631.3413696,678.3549194,0.452468783,586.2011719,635.2561035,0.597900331
57.04,609.7791138,165.0612335,0.890841484,666.6738892,208.1369934,0.721729875,694.0155029,212.1111298,0.556780875,717.5491943,288.5298767,0.147373363,0,0,0,646.9462891,198.389328,0.765477002,617.5604248,300.2344666,0.608683765,604.0028076,359.0321045,0.392093867,678.3131714,380.5342407,0.577519417,694.0130005,374.6773071,0.475953013,619.5456543,505.958252,0.776887953,664.6245117,623.493103,0.585165262,666.5511475,382.4871521,0.599365652,588.2108765,601.977478,0.672222018,633.3031616,601.977478,0.672222018,603.9620972,161.0676422,0.265983224,617.5578613,149.4861145,0.930558741,0,0,0,648.9361572,147.4875336,0.870167375,607.8250732,635.2714844,0.136091873,0,0,0,639.1809692,605.8989868,0.287741691,643.1193848,666.6635132,0.067653768,637.2203979,664.6858521,0.078102663,676.3696899,633.333374,0.446665645
66.04,648.9326782,114.0734253,0.91229707,649.0274658,180.753891,0.837926805,611.7374268,178.8004761,0.766854942,603.9821167,259.1583557,0.672010124,648.9780273,176.8018799,0.575826824,686.1984863,184.6725159,0.708849311,711.6708984,261.0479126,0.735708773,727.3972168,196.46521,0.516484261,650.9558716,339.4429626,0.566725433,633.3591919,339.4414673,0.554787695,695.9405518,494.2314453,0.777001083,648.9679565,629.3881836,0.472647667,668.6119385,341.3864441,0.468676507,697.8927002,617.635437,0.236493856,660.7436523,617.635437,0.236493856,631.270752,102.4892349,0.888374031,651.0167236,100.3624649,0.951584637,609.8024902,127.8284988,0.731037855,666.5172119,104.4053421,0.24404408,697.878479,645.057373,0.140443444,695.9523315,637.2098999,0.152603224,635.2748413,631.3480225,0.073205955,678.369751,680.3408203,0.355976075,662.6983032,680.3295898,0.275478899,633.2568359,643.0911255,0.376435399
91.04,603.8450928,159.144989,0.874023974,646.9556274,247.3357086,0.736015379,590.1882324,247.3500061,0.591747403,541.2357178,353.1032715,0.780595779,539.2629395,272.8003845,0.439637601,697.9060669,243.4929504,0.742741227,605.8688354,351.1188049,0.72249043,566.6799316,255.1960602,0.364628166,705.7840576,490.249054,0.23077102,662.6796265,492.1893616,0.215153918,572.6104126,582.3416138,0.775106132,592.1885986,715.6552734,0.077341519,772.3435669,480.506012,0.287152618,656.8099976,0,0,0,0,0,592.1922607,143.4833527,0.837116122,629.3282471,141.5581207,0.846094012,0,0,0,666.6844482,155.2784729,0.740144193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
